actual,predicted
-8.79,-11.257317378589562
3.46,3.8665789091942933
53.04,44.02949718463119
6.16,5.849478771509579
7.41,5.192379613305398
2.25,9.03309376967964
-5.2,-15.530036308810756
13.95,12.921510623377774
69.2,49.28897209939359
0.23,6.3680816985116
54.23,20.10889348624054
-5.92,17.87430206393736
-11.88,-8.98111767392695
19.49,20.115380759833176
8.64,9.03309376967964
16.2,9.218170907623037
54.9,31.20164909434999
-26.84,-10.743943690070994
0.6,4.554198253053231
4.29,32.34774492005184
4.74,24.23478107169744
-3.63,-6.395135863130882
18.09,10.989321047160558
69.72,25.156081052512974
3.36,3.9580255317775
2.7,13.723849447335231
12.36,11.945348960332188
0.06,3.9580255317775
-1.94,-8.148710183346743
8.25,6.842908057223578
11.56,6.836713131117989
10.09,7.806419663639696
21.84,12.193920586399667
6.21,23.47700611823918
151.74,69.24846631678189
2.46,6.3680816985116
-1.1,3.356472472468798
13.77,28.416115109302023
5.67,5.8355230868562735
10.74,9.03309376967964
21.78,13.723849447335231
2.76,5.365797944815917
2.86,11.06281857008011
3.15,5.192379613305398
188.79,116.8240868558528
18.21,12.74872404736241
1.11,7.22666013380541
-14.78,0.9456620246268495
78.03,42.374361668466236
3.78,7.793337324060565
-9.1,-6.039177888198377
-59.14,-31.998888912361608
5.04,30.554390602570393
4.44,3.9580255317775
2.88,7.22666013380541
-238.68,-177.93784904271726
-5.65,5.46384206349071
62.99,17.031658057204034
0.51,7.22666013380541
9.66,6.191119566252402
21.6,10.74074942109308
12.33,12.775180537465287
3.13,18.50929094174682
24.15,-2.011137367516617
39.54,30.862822051228175
40.77,67.4924672475352
84.89,39.33508045363875
51.24,30.580189149115046
104.4,61.557519003031125
0.0,6.3680816985116
-4.89,-7.861704067055806
-25.8,-12.307583951565443
7.7,8.14595311082115
10.92,9.03309376967964
77.64,44.1601399589305
13.68,16.002488159164923
0.78,5.192379613305398
11.5,8.393499458153041
21.75,17.06002043085041
4.53,5.365797944815917
16.54,13.4703204772858
9.29,5.237318592366451
17.88,10.989321047160558
13.08,7.0948651917043115
4.9,7.841535671895425
-16.36,12.596246864450258
119.14,48.51919653134488
7.59,10.989321047160558
18.33,11.945348960332188
21.84,17.06002043085041
1.55,4.753637765672789
0.59,3.6413949891510415
14.8,8.884049952006599
1.92,17.06002043085041
15.01,9.011019202878805
0.36,4.554198253053231
-0.01,-6.395135863130882
15.84,12.193920586399667
100.66,57.294230117546945
6.4,21.336244240300367
30.12,18.05386929044612
24.0,30.72404031334555
15.84,17.06002043085041
6.35,5.578907311162835
2.94,4.554198253053231
-69.5,-75.67750056450815
12.46,6.4643543095995915
3.3,6.3680816985116
1.55,4.359332267669717
1.41,2.5478802965309524
22.46,19.68312955053863
14.95,16.64196122195941
-53.27,-25.00043005239269
50.93,13.096106114187183
3.52,10.840277229487517
19.05,7.806419663639696
-21.96,35.0781209631261
40.64,42.59082629675396
43.92,30.862822051228175
-6.95,-6.395135863130882
28.86,20.740661822224126
1.97,3.6568316378260173
3.74,4.375139655897801
16.56,26.735911725991283
8.91,9.662330440974028
7.0,4.554198253053231
5.49,26.99601004740048
-35.22,22.356459452294867
14.28,13.110992696136183
-1.62,-12.051257994314012
13.74,10.989321047160558
0.0,-89.1812025713793
3.94,3.505516290141838
8.69,5.192379613305398
10.62,9.03309376967964
13.44,17.06002043085041
29.52,27.59214382451927
-20.3,-12.640203381272395
22.8,13.293895416680584
-6.25,5.775247008451502
1.18,8.24445564048
7.6,5.192379613305398
3.24,4.151931403853589
7.1,5.8355230868562735
2.58,10.989321047160558
17.74,7.64743376400699
22.77,11.945348960332188
10.8,6.3680816985116
243.72,125.07004343509043
9.3,12.193920586399667
32.49,30.862822051228175
5.52,8.969599281555558
-0.07,13.979381077338939
1.67,25.165929449347118
17.73,12.672938997310295
25.35,42.00338380759696
3.15,21.485288057973406
-0.53,8.892217835614005
47.4,83.04606592769223
-38.25,-45.18072644414073
42.48,-65.37330433437226
9.74,5.237318592366451
7.6,9.723778809852483
2.79,3.505516290141838
50.22,34.86907049819723
27.82,68.2919360163714
24.98,27.290141400680206
0.75,10.306914044593102
6.09,17.06002043085041
-0.06,14.86727353113385
10.08,-13.039854126054859
4.68,3.9580255317775
61.08,78.82021088646712
17.91,22.672849890030584
8.79,44.0854887855294
18.0,10.74074942109308
4.44,10.989321047160558
9.75,5.278787540993391
1.75,3.8811569798242247
-28.87,-34.73616265493181
31.6,79.70571758866393
-34.76,23.325898538275702
14.2,7.841535671895425
-5.26,4.604593947999748
20.04,19.35850321867451
9.96,10.989321047160558
9.32,10.37833827936432
-3.42,-5.229698474978616
1.64,6.3680816985116
-4.51,-7.923901365027875
-10.33,-19.555303696704648
11.34,10.989321047160558
11.1,6.3680816985116
55.74,48.389230353639775
-2.73,-6.84429688781068
5.59,7.79647758168003
4.65,17.06002043085041
-0.02,43.499824400423634
2.36,9.03309376967964
-3.11,-7.138585001684948
114.48,56.61915308029096
0.24,4.554198253053231
-4.05,-18.12128632516559
113.21,57.75174742540032
43.92,30.862822051228175
0.83,-6.395135863130882
10.89,6.253500866348681
37.98,22.413863547657275
2.76,6.236286756410501
8.94,7.22666013380541
0.0,30.580189149115046
28.62,21.485288057973406
3.36,6.3680816985116
7.29,10.74074942109308
27.12,16.811448804782934
2.1,6.191119566252402
44.84,41.62269138348762
31.69,51.298245162087
0.0,-9.777412480604168
5.46,10.989321047160558
10.2,9.03309376967964
12.66,24.66101462809309
18.99,13.4703204772858
7.92,6.71111311512248
-95.54,-85.89094814677547
57.6,1.4460641717478084
50.4,52.74297276756665
-0.73,-6.395135863130882
2.64,3.9580255317775
5.55,12.961727196346867
79.5,56.62241708564964
